coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Thu Jul 22 13:08:23 +0000 2021,,,,0,1418196225061539845,PogonSzczecin,1418186312780238854,249576782,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@PogonSzczecin @sport_tvppl @BorekMati @MZewlakow A czemu nie na tvp sport?,https://twitter.com/Potr0wiec/status/1418196225061539845,Thu Aug 06 11:21:51 +0000 2020,1291333609786355712,false,"Boże broń nas od tak wybitnych ekspertów        

konto ze statystykami - @StatsGoal",14216,489,929,1,"Szczecin, Polska",Michał,Potr0wiec,17679,,,false
,Thu Jul 22 13:07:52 +0000 2021,,,,2,1418196096707334150,odlewadprawa,1418195512507998209,1201238956936958000,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@odlewadprawa @AnnaMarzec5 @SilverMarketFan @TadeuszCzupryn @TomaszPaprzycki @DominikSuchodo3 @Amonn135 @makowski_m Oczywista oczywistość. W TVP też było sporo. A w TVN to przecież nawet Olejnik krzyczała na Sikorskiego.,https://twitter.com/PiotrS31170857/status/1418196096707334150,Tue Nov 07 11:05:07 +0000 2017,927854422385938432,true,,1028,18,31,0,,Piotr S.,PiotrS31170857,11952,,,false
,Thu Jul 22 13:07:27 +0000 2021,,,,0,1418195988234264576,,,,pl,,,,16,1418187553941897223,KChojecka,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Defilady Wojska Polskiego nie będzie ze względu na zagrożenie epidemiczne,
ale pielgrzymka @RadioMaryja na Jasną Górę to jak najbardziej...
Co jest bardziej niebezpieczne?
https://t.co/ErJwkEHmpo",https://twitter.com/Rysiek76102827/status/1418195988234264576,Sun Jun 02 12:07:05 +0000 2019,1135155874480185344,false,Oczy ciemne,161734,262,336,2,,Rysiek,Rysiek76102827,117555,,,false
,Thu Jul 22 13:15:25 +0000 2021,,,,0,1418197994642497543,tvp_info,1418149142539509760,47295451,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@tvp_info @prezydentpl @AndrzejDuda Pan prezydent🇵🇱 @AndrzejDuda leci do Japonii🇯🇵 wspierać polskich 🇵🇱 sportowców 👍 a zakopleksione ćwierć inteligentne kundle z totalnej opozycji już wyją... Spokojnie to nie wasz @Komorowski  który szogunów woła i po krzesłach skacze jak 🐒,https://twitter.com/ArchanioMichael/status/1418197994642497543,Fri May 07 09:53:54 +0000 2021,1390605733729865728,false,Idąc ciemną doliną zła się nie ulęknę..z prymitywnym lewactwem nie dyskutuję,17918,1547,1616,5,"Gdańsk, Polska",Michał🇵🇱🦅,ArchanioMichael,14867,,,false
,Thu Jul 22 13:12:50 +0000 2021,,,,0,1418197344756146178,,,,pl,,,,91,1418194659642417163,KrzyLuft,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Rada Programowa TVP głosami członków związanych z PiS właśnie odrzuciła wniosek o zamówienie zewnętrznej analizy materiałów @WiadomosciTVP , przedstawiających aktywność i osobę @donaldtusk . Zamykają oczy i uszy na ordynarne szczucie i nagonkę, realizowaną w TVP.",https://twitter.com/PaweGrzegorczy1/status/1418197344756146178,Tue Dec 17 19:23:31 +0000 2013,2250864506,false,Ścieżki Błędu Są Różne I Nieskończone,851241,7477,7965,14,,Anty bakiewicz Robert,PaweGrzegorczy1,625599,,,false
,Thu Jul 22 13:14:03 +0000 2021,,,,0,1418197651431084035,Marecze18439407,1418196468041715713,994897540083585000,pl,,,,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","@Marecze18439407 @tvp_info Czy jest jakaś ( może jedna )  wypowiedz @AndrzejDuda , która nie niosłaby w treści przesłanki do wstydu?",https://twitter.com/turwie2/status/1418197651431084035,Thu Nov 06 16:56:44 +0000 2014,2864078765,false,"Emerytowany absolwent WAT. Turystyka, technika, literatura techniczna Umiarkowany optymista. Moje motto-""Nie oszukasz świata słowami w które sam nie wierzysz """,62881,4772,2936,22,"Warmińsko-Mazurskie, Polska",Wiesław TURSKI,turwie2,69759,,,false
,Thu Jul 22 13:10:26 +0000 2021,,,,0,1418196739279007746,tvp_info,1418191478040449024,47295451,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@tvp_info jak już on nie może patrzeć na pis to musi być naprawdę źle bo przecież autorytarna władza pisu utożsamia wszystkie cnoty prl-u,https://twitter.com/Dominik00010/status/1418196739279007746,Sun Jul 02 16:13:39 +0000 2017,881546419345248256,false,,15928,183,534,8,,Dominik 🇵🇱🇺🇦🇺🇸🇪🇺,Dominik00010,15649,,,false
,Thu Jul 22 13:06:38 +0000 2021,,,,0,1418195784869232642,tvp_info,1417927976637894661,47295451,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@tvp_info Czołem funkcjonariusze!
Pamiętacie PiSowski program ""Strzelnica w powiecie"" miało powstać 380 strzelnic - powstały 2.
Zapytajcie rząd ile kosztował Polaków program strzelnic i gdzie trafiły przeznaczone na niego pieniądze?",https://twitter.com/TomaszSiwiak/status/1418195784869232642,Sun Jan 22 20:49:02 +0000 2012,471416974,false,"opinie prywatne
konta imię_cyferki blokuję
z anonimami nie dyskutuję",4786,68,456,0,Poland,Tomasz Siwiak,TomaszSiwiak,9387,,,false
,Thu Jul 22 13:06:34 +0000 2021,,,,1,1418195767022522373,RzRNowak,1418194976480112641,702800044953567200,pl,,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@RzRNowak @tvp_info @TVP Żaden/ zarówno Doktor, jak i ja dawno zaszczepieni. Tak się składa, że i ja i mój rozmówca Astrą",https://twitter.com/adam_giza/status/1418195767022522373,Mon Feb 26 12:21:06 +0000 2018,968098594090778624,false,prezenter TVP Info/TVP,256,4877,170,79,"Warszawa, Polska",Adam Giza,adam_giza,1523,,,false
,Thu Jul 22 13:15:09 +0000 2021,,,,0,1418197926451482627,najmocniejprze1,1418169665138876419,1414569029872799700,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@najmocniejprze1 @MaciejJaworsk17 @Konrad_Chudy @BartStaszewski @milosc_ Z Irlandii to wszystko widzisz? Czy może na podstawie wiadomości TVP?,https://twitter.com/vol_martin/status/1418197926451482627,Sun Jun 20 18:51:18 +0000 2021,1406686067298799619,false,"☀️🌤️☁️🌩️⚡
Przeklinam tylko wtedy, jak się mnie wyjątkowo zirytuje.",532,2,5,0,,Vol 2,vol_martin,184,,,false
